#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1403715273262142976,0.878895,2.1834,0.948427,0.069433,-0.824237,-0.106942,-0.551702,0.00157587,0.00179383,-0.00231615,-0.00224703,0.0215352,0.0770299,-0.0180115,0.0659796,0.0309774
1403715273312143104,0.878973,2.18348,0.948329,0.0694375,-0.824253,-0.106951,-0.551676,0.00176904,0.00157506,-0.00147218,-0.00224702,0.0215352,0.0770299,-0.0180079,0.0659832,0.0309754
1403715273362142976,0.879043,2.18353,0.948278,0.0694202,-0.824264,-0.106935,-0.551665,0.000681035,0.000669648,-0.000582798,-0.00224701,0.0215352,0.0770298,-0.0179845,0.0660077,0.0309696
1403715273412143104,0.879078,2.18354,0.94826,0.0694043,-0.824287,-0.106929,-0.551634,0.000700076,3.46531e-05,-5.82887e-05,-0.00224701,0.0215352,0.0770298,-0.0179368,0.0660621,0.030994
1403715273462142976,0.87909,2.18356,0.948267,0.0693772,-0.824305,-0.10694,-0.551608,-0.000131476,0.000456884,3.1516e-05,-0.00224703,0.0215352,0.0770297,-0.0179025,0.0661142,0.0310969
1403715273512142848,0.879066,2.18358,0.94825,0.06936,-0.82432,-0.10694,-0.551588,-0.000871912,9.47231e-06,-0.000505989,-0.00224707,0.0215352,0.0770296,-0.0179361,0.0661159,0.0312697
1403715273562142976,0.878981,2.18357,0.948229,0.0692722,-0.824341,-0.106838,-0.551587,-0.00243595,0.000737654,-0.000636804,-0.00224711,0.0215352,0.0770294,-0.0180658,0.0660362,0.0314596
1403715273612143104,0.878882,2.1836,0.948193,0.0691444,-0.82437,-0.106705,-0.551586,-0.00289568,0.0094072,0.000488227,-0.00224716,0.0215352,0.0770291,-0.0182801,0.0658563,0.031646
1403715273662142976,0.878816,2.18363,0.948148,0.0690733,-0.824397,-0.106914,-0.551514,-0.000673471,-0.000960961,-0.00135856,-0.0022472,0.0215352,0.0770287,-0.0185525,0.0655718,0.0318322
1403715273712142848,0.878778,2.18362,0.948081,0.0689702,-0.824455,-0.106748,-0.551473,0.000851939,-0.0112114,-0.000607553,-0.00224722,0.0215353,0.0770283,-0.0188054,0.0651904,0.0320473
1403715273762142976,0.878755,2.18373,0.948102,0.0689903,-0.824439,-0.106914,-0.551461,0.0021539,-0.0152898,0.000157898,-0.00224723,0.0215353,0.0770278,-0.0189524,0.0647285,0.0322903
1403715273812143104,0.878783,2.18377,0.948127,0.0691125,-0.824438,-0.106959,-0.55144,0.0022645,-0.0121614,6.06936e-05,-0.00224726,0.0215353,0.0770272,-0.0189441,0.0642169,0.0325553
1403715273862142976,0.878855,2.18376,0.948173,0.0691207,-0.82443,-0.107143,-0.551414,0.0023236,-0.00552053,-0.000361545,-0.00224733,0.0215354,0.0770266,-0.0187731,0.0636805,0.0328809
1403715273912143104,0.879001,2.18366,0.948175,0.0691403,-0.824501,-0.106936,-0.551346,0.00293106,0.0022417,0.00052204,-0.00224745,0.0215354,0.0770258,-0.0184623,0.0631494,0.0333258
1403715273962142976,0.879235,2.18348,0.948209,0.0688863,-0.824517,-0.106925,-0.551356,0.00504459,0.00625763,0.000800889,-0.00224763,0.0215354,0.077025,-0.0180671,0.0626266,0.0339401
1403715274012142848,0.879594,2.18314,0.948225,0.0680911,-0.82462,-0.106392,-0.551404,0.00767343,-0.00140913,-0.000274316,-0.00224784,0.0215353,0.077024,-0.0176155,0.0621108,0.0347304
1403715274062142976,0.879899,2.18319,0.948264,0.0687849,-0.824556,-0.106693,-0.551355,0.00663639,-0.00563333,0.0029581,-0.00224809,0.0215353,0.0770229,-0.0170907,0.0615976,0.0356499
1403715274112143104,0.880156,2.18321,0.948386,0.0688823,-0.824468,-0.106756,-0.551462,0.00575148,-0.00576253,0.00137695,-0.00224839,0.0215352,0.0770216,-0.0165041,0.0610802,0.0365954
1403715274162142976,0.880422,2.18331,0.94847,0.0691569,-0.824522,-0.106948,-0.55131,0.00599027,-0.00340282,0.00159162,-0.00224875,0.0215352,0.0770202,-0.0159015,0.0605691,0.037448
1403715274212142848,0.880622,2.18345,0.94855,0.0695989,-0.824501,-0.10728,-0.551222,0.00335111,-0.00161331,0.00126453,-0.00224918,0.0215351,0.0770187,-0.0153326,0.0600777,0.0381447
1403715274262142976,0.880763,2.1834,0.948595,0.0692481,-0.82467,-0.10729,-0.551011,0.00205784,0.000106261,-0.000656683,-0.00224966,0.021535,0.0770171,-0.0148459,0.0595977,0.0386778
1403715274312143104,0.880801,2.18339,0.948616,0.0691515,-0.824812,-0.107279,-0.550812,-0.00087265,-0.000247813,0.00184152,-0.0022502,0.0215349,0.0770154,-0.0144964,0.0590883,0.0390385
1403715274362142976,0.880673,2.1833,0.948655,0.0689942,-0.82478,-0.107231,-0.55089,-0.00378132,-0.00163018,-3.84629e-07,-0.00225077,0.0215347,0.0770137,-0.0142998,0.0585224,0.0392311
1403715274412143104,0.880484,2.18323,0.948675,0.0688923,-0.824852,-0.107307,-0.55078,-0.00243256,-0.0110914,0.00161305,-0.00225135,0.0215346,0.0770119,-0.0142326,0.0578915,0.0392748
1403715274462142976,0.880238,2.18323,0.948684,0.0688828,-0.824844,-0.107155,-0.550823,-0.00375994,-0.00748618,6.02608e-05,-0.00225195,0.0215344,0.07701,-0.0142552,0.0571875,0.0391769
1403715274512142848,0.879978,2.18328,0.948691,0.0688123,-0.824775,-0.107516,-0.550864,-0.00457844,-0.00427521,0.000307483,-0.00225255,0.0215343,0.0770082,-0.014307,0.0564138,0.0389984
1403715274562142976,0.879691,2.18339,0.948679,0.0689877,-0.82482,-0.107449,-0.550788,-0.00500468,-0.000244545,4.60678e-05,-0.00225317,0.0215342,0.0770063,-0.0143351,0.0556039,0.038828
1403715274612143104,0.879448,2.18347,0.948678,0.0689715,-0.824755,-0.107583,-0.55086,-0.00530178,0.0089727,-0.00153652,-0.00225381,0.0215341,0.0770045,-0.014323,0.0548046,0.038709
1403715274662142976,0.879291,2.18352,0.948663,0.0687307,-0.824716,-0.107711,-0.550924,-0.00380217,0.00742477,0.00107593,-0.00225449,0.021534,0.0770026,-0.0142754,0.0540985,0.0386618
1403715274712142848,0.879124,2.18358,0.948689,0.0688663,-0.824621,-0.107608,-0.55107,-0.00288183,0.00673259,0.00152226,-0.00225519,0.021534,0.0770006,-0.0141993,0.053531,0.0387134
1403715274762142976,0.879105,2.18361,0.948644,0.0686769,-0.824635,-0.10764,-0.551066,0.00108356,0.00313325,-0.00141899,-0.00225588,0.021534,0.0769986,-0.0140648,0.0531318,0.0388952
1403715274812143104,0.879204,2.18359,0.948625,0.0686323,-0.824646,-0.107605,-0.551062,0.00139382,0.0019505,-0.00120297,-0.0022566,0.021534,0.0769966,-0.013858,0.052926,0.0391905
1403715274862142976,0.879301,2.18349,0.948635,0.0685694,-0.824631,-0.107608,-0.551092,0.00193158,-3.96341e-05,0.000974881,-0.00225736,0.021534,0.0769944,-0.0136148,0.0528987,0.0395591
1403715274912143104,0.879452,2.18347,0.948602,0.0685298,-0.82466,-0.107636,-0.551049,0.00353656,0.00131832,-0.00137236,-0.00225816,0.021534,0.0769921,-0.0134002,0.0529878,0.0399547
1403715274962142976,0.879634,2.18343,0.948563,0.0685904,-0.824696,-0.107642,-0.550986,0.00294091,-0.000853001,5.89814e-05,-0.00225898,0.021534,0.0769898,-0.0132478,0.0531404,0.0403662
1403715275012142848,0.879761,2.18341,0.94857,0.0685695,-0.824699,-0.107639,-0.550984,0.00174727,0.000186953,-0.000805983,-0.00225982,0.021534,0.0769874,-0.0131539,0.0533129,0.0407648
1403715275062142976,0.879844,2.18345,0.948551,0.0685818,-0.824683,-0.107676,-0.551,0.0024542,0.00133654,-0.0010958,-0.00226065,0.021534,0.0769849,-0.0130864,0.0534688,0.0411657
1403715275112143104,0.880022,2.18348,0.948529,0.0686083,-0.824691,-0.107687,-0.550982,0.00393514,0.000250868,2.54759e-05,-0.00226149,0.0215341,0.0769824,-0.0130052,0.0536172,0.041612
1403715275162142976,0.880211,2.18348,0.948549,0.068512,-0.824704,-0.107754,-0.550961,0.00348151,-0.00102173,0.000906407,-0.00226235,0.0215342,0.0769798,-0.0128957,0.0537898,0.0420911
1403715275212142848,0.880363,2.18348,0.948623,0.0684998,-0.824678,-0.107756,-0.551001,0.00308699,-0.000410126,0.00169037,-0.00226323,0.0215343,0.076977,-0.0127875,0.053986,0.0425436
1403715275262142976,0.880514,2.18352,0.948644,0.068528,-0.824706,-0.107712,-0.550965,0.00254707,0.000883571,3.33174e-05,-0.00226414,0.0215344,0.0769743,-0.0127298,0.0541727,0.0429274
1403715275312143104,0.880602,2.18358,0.948643,0.0685137,-0.824698,-0.107715,-0.550978,0.000968127,0.00100828,-0.000627812,-0.00226507,0.0215345,0.0769714,-0.0127617,0.0543282,0.0432315
